,Name,Pos,HT,WT,Age,YOS,Draft Status
8,Josh Minott,F,6-8,205,22,2,2022 Rnd 2 Pick 15
21,Yves Missi,C,6-11,235,20,0,2024 Rnd 1 Pick 21
25,Ajay Mitchell,PG,6-5,190,22,0,2024 Rnd 2 Pick 8
45,Davion Mitchell,PG,6-0,202,26,3,2021 Rnd 1 Pick 9
45,Donovan Mitchell,SG,6-3,215,28,7,2017 Rnd 1 Pick 13
4,Evan Mobley,PF,6-11,215,23,3,2021 Rnd 1 Pick 3
2,Jonathan Mogbo,F,6-9,225,23,0,2024 Rnd 2 Pick 1
0,Malik Monk,SG,6-3,200,27,7,2017 Rnd 1 Pick 11
4,Moses Moody,SG,6-5,211,22,3,2021 Rnd 1 Pick 14
9,"Wendell Moore, Jr.",SF,6-5,215,23,2,2022 Rnd 1 Pick 26
12,Ja Morant,G,6-2,174,25,5,2019 Rnd 1 Pick 2
88,Markieff Morris,PF,6-9,245,35,13,2011 Rnd 1 Pick 13
23,Monte Morris,G,6-2,183,29,7,2017 Rnd 2 Pick 21
25,Trey Murphy III,G,6-8,206,24,3,2021 Rnd 1 Pick 17
5,Dejounte Murray,SG,6-4,180,28,8,2016 Rnd 1 Pick 29
27,Jamal Murray,SG,6-4,215,28,8,2016 Rnd 1 Pick 7
13,Keegan Murray,F,6-8,225,24,2,2022 Rnd 1 Pick 4
24,Kris Murray,F,6-8,216,24,1,2023 Rnd 1 Pick 23
19,Svi Mykhailiuk,SF,6-7,205,27,6,2018 Rnd 2 Pick 17
22,"Larry Nance, Jr.",SF,6-8,245,32,9,2015 Rnd 1 Pick 27
35,Pete Nance,PF,6-10,225,25,1,"2023 NBA Draft, Undrafted"
2,Andrew Nembhard,PG,6-4,191,25,2,2022 Rnd 2 Pick 1
23,Aaron Nesmith,F,6-6,215,25,4,2020 Rnd 1 Pick 14
13,Tristen Newton,SG,6-5,190,24,0,2024 Rnd 2 Pick 19
20,Georges Niang,F,6-7,230,31,8,2016 Rnd 2 Pick 20
22,Zeke Nnaji,PF,6-9,240,24,4,2020 Rnd 1 Pick 22
44,Miles Norris,PF,6-7,220,24,1,"2023 NBA Draft, Undrafted"
11,Jusuf Nurkic,FC,7-0,290,30,10,2014 Rnd 1 Pick 16
0,Royce O'Neale,SF,6-6,226,31,7,"2015 NBA Draft, Undrafted"
12,Josh Okogie,SG,6-4,213,26,6,2018 Rnd 1 Pick 20
17,Onyeka Okongwu,PF,6-10,240,24,4,2020 Rnd 1 Pick 6
35,Isaac Okoro,SG,6-5,225,24,4,2020 Rnd 1 Pick 5
13,Kelly Olynyk,C,6-11,240,33,11,2013 Rnd 1 Pick 13
9,"Kelly Oubre, Jr.",SF,6-8,203,29,9,2015 Rnd 1 Pick 15
3,Chris Paul,PG,6-0,175,39,19,2005 Rnd 1 Pick 4
1,Cameron Payne,G,6-3,183,30,9,2015 Rnd 1 Pick 14
0,Gary Payton II,G,6-2,195,32,8,"2016 NBA Draft, Undrafted"
13,Drew Peterson,F,6-9,205,25,1,"2023 NBA Draft, Undrafted"
15,Julian Phillips,F,6-8,198,21,1,2023 Rnd 2 Pick 5
24,Jalen Pickett,F,6-2,202,25,1,2023 Rnd 2 Pick 2
1,"Scotty Pippen, Jr.",G,6-1,170,24,2,"2022 NBA Draft, Undrafted"
29,Daeqwon Plowden,GF,6-6,216,26,0,"2022 NBA Draft, Undrafted"
22,Mason Plumlee,PF,6-10,254,35,11,2013 Rnd 1 Pick 22
2,Brandin Podziemski,G,6-4,205,22,1,2023 Rnd 1 Pick 19
19,Jakob Poeltl,C,7-0,260,29,8,2016 Rnd 1 Pick 9
13,Jordan Poole,SG,6-4,194,25,5,2019 Rnd 1 Pick 28
9,"Craig Porter, Jr.",G,6-1,180,25,1,"2023 NBA Draft, Undrafted"
3,"Kevin Porter, Jr.",SF,6-4,203,24,4,2019 Rnd 1 Pick 30
1,"Michael Porter, Jr.",PF,6-10,218,26,6,2018 Rnd 1 Pick 14
9,Bobby Portis,PF,6-10,250,30,9,2015 Rnd 1 Pick 22
8,Kristaps Porzingis,FC,7-2,240,29,9,2015 Rnd 1 Pick 4
21,Quinten Post,C,7-0,238,25,0,2024 Rnd 2 Pick 22
25,Micah Potter,C,6-9,248,26,3,"2021 NBA Draft, Undrafted"
7,Dwight Powell,PF,6-10,240,33,10,2014 Rnd 2 Pick 15
24,Norman Powell,SG,6-4,215,31,9,2015 Rnd 2 Pick 16
12,Taurean Prince,F,6-6,218,31,8,2016 Rnd 1 Pick 12
11,Payton Pritchard,PG,6-1,195,27,4,2020 Rnd 1 Pick 26
8,Olivier-Maxence Prosper,F,6-7,230,22,1,2023 Rnd 1 Pick 24
2,Zyon Pullin,PG,6-4,206,24,0,"2024 NBA Draft, Undrafted"
12,Trevelin Queen,G,6-5,190,28,3,"2020 NBA Draft, Undrafted"
88,Neemias Queta,C,7-0,248,25,3,2021 Rnd 2 Pick 9
5,Immanuel Quickley,PG,6-2,190,25,4,2020 Rnd 1 Pick 25
22,Lester Quinones,SG,6-4,208,24,2,"2022 NBA Draft, Undrafted"
30,Julius Randle,PF,6-9,250,30,10,2014 Rnd 1 Pick 7
26,Duop Reath,C,6-9,245,28,1,"2018 NBA Draft, Undrafted"
15,Austin Reaves,PG,6-5,197,26,3,"2021 NBA Draft, Undrafted"
7,"Paul Reed, Jr.",F,6-9,210,25,4,2020 Rnd 2 Pick 28
65,Alex Reese,FC,6-9,245,25,0,"2021 NBA Draft, Undrafted"
12,Antonio Reeves,GF,6-5,205,24,0,2024 Rnd 2 Pick 17
11,Naz Reid,C,6-9,264,25,5,"2019 NBA Draft, Undrafted"
8,Jared Rhoden,SG,6-5,210,25,2,"2022 NBA Draft, Undrafted"
2,Nick Richards,C,7-0,245,27,4,2020 Rnd 2 Pick 12
10,Zaccharie Risacher,F,6-8,200,19,0,2024 Rnd 1 Pick 1
55,Duncan Robinson,F,6-7,215,30,6,"2018 NBA Draft, Undrafted"
23,Mitchell Robinson,C,7-0,240,27,6,2018 Rnd 2 Pick 6
21,Orlando Robinson,PF,6-10,235,24,2,"2022 NBA Draft, Undrafted"
50,Jeremiah Robinson-Earl,PF,6-8,240,24,3,2021 Rnd 2 Pick 2
21,David Roddy,F,6-4,255,24,2,2022 Rnd 1 Pick 23
13,Ryan Rollins,G,6-3,180,22,2,2022 Rnd 2 Pick 14
44,Jackson Rowe,F,6-7,210,28,0,"2020 NBA Draft, Undrafted"
2,Terry Rozier,G,6-1,190,31,9,2015 Rnd 1 Pick 16
21,Rayan Rupert,G,6-6,195,20,1,2023 Rnd 2 Pick 13
1,D'Angelo Russell,SG,6-3,193,29,9,2015 Rnd 1 Pick 2
11,Domantas Sabonis,PF,6-10,240,28,8,2016 Rnd 1 Pick 11
31,Tidjane Salaun,F,6-8,207,19,0,2024 Rnd 1 Pick 6
15,Gui Santos,GF,6-6,185,22,1,2022 Rnd 2 Pick 25
9,Dario Saric,SF,6-10,225,30,8,2014 Rnd 1 Pick 12
20,Alex Sarr,FC,7-0,205,19,0,2024 Rnd 1 Pick 2
25,Marcus Sasser,G,6-2,195,24,1,2023 Rnd 1 Pick 25
55,Baylor Scheierman,PG,6-6,205,24,0,2024 Rnd 1 Pick 30
